Detection Date,Latitude,Longitude
2020-10-07,46.371728882074834,-122.7963638429036
2020-10-07,46.71437080233264,-124.12326392769658
2020-10-08,46.79378096401024,-123.63750220791482
2020-10-08,46.86304885946321,-122.8776661494283
2020-10-09,46.49226593552637,-123.72720534770038
2020-10-09,46.14358997203338,-122.48003662562738
2020-10-09,45.6851476139586,-122.9031677676219
2020-10-09,46.16653166300583,-123.72528190417681
2020-10-09,47.072316562233446,-124.01865813423927
2020-10-10,47.22857820650982,-124.49696529455505
2020-10-10,46.45194429744053,-124.06040878224229
2020-10-10,46.919221445216415,-123.84324555461554
2020-10-11,46.79960531972098,-123.7372907531447
2020-10-12,46.6620132343297,-123.98210744354002
2020-10-12,46.58007565688896,-124.66501399999999
2020-10-12,46.772040454288,-124.15492350600074
2020-10-12,47.34374332909036,-123.26119843078004
2020-10-13,47.047963332558155,-123.06010927043386
2020-10-14,47.13689853328514,-124.66501399999999
2020-10-14,47.194913421569346,-124.42231385271452
2020-10-14,46.4365949026804,-123.42953469726814
2020-10-14,47.080834029280425,-124.5056514002714
2020-10-14,46.95676958058286,-123.72434947633747
2020-10-15,46.93832377771425,-123.13513317992084
2020-10-15,46.42344912505674,-124.10036357548546
2020-10-15,46.70390161114979,-123.63063301196509
2020-10-15,46.06114749204445,-124.66501399999999
2020-10-16,47.017753590618845,-124.2414943702452
2020-10-17,46.45962301438975,-124.57359773789953
2020-10-17,46.670376617892266,-124.66501399999999
2020-10-17,46.97513052588033,-124.66501399999999
2020-10-17,46.350902601026775,-124.66501399999999
2020-10-17,45.59108902572024,-123.4826794795857
2020-10-17,46.818944360180375,-124.56753366709893
2020-10-17,46.806217064368006,-123.64100992626636
2020-10-17,46.14854029476154,-123.50110020746828
2020-10-17,46.741144259260174,-123.37536508538328
2020-10-18,46.517741071615696,-122.39118220858644
2020-10-18,47.19183532483149,-121.95909570853392
2020-10-19,46.80065576712775,-123.62678829907627
2020-10-20,46.94187752346921,-124.05069853353494
2020-10-20,46.761591807569744,-123.23009743951617
2020-10-20,47.10314665767956,-124.40848506160133
2020-10-20,47.1686357115047,-124.05211190807722
2020-10-21,47.003507790902134,-124.66501399999999
2020-10-21,45.88073538302588,-124.66501399999999
2020-10-22,46.97486300122189,-124.00033072351971
2020-10-28,46.88168626179504,-123.57973402074714
2020-11-20,46.71552263220596,-123.22552461245398
2020-12-20,47.28075891346979,-124.5904654301761
