,Latitude,Longitude
0,49.17403896039891,-124.45387816855612
1,47.73191803553867,-123.86561009123389
2,48.92776933704901,-124.5379701490448
3,49.528572552702904,-122.82010897004558
4,47.80896290407586,-124.06171505088072
5,47.75334323239136,-123.98210080663573
6,48.39041010775614,-123.46463259250216
7,48.540641505057096,-123.85441323317819
8,48.6510662157433,-124.66501399999999
9,48.97113468222547,-124.66501399999999
10,46.94173058588552,-124.0938039682354
11,46.63927408498096,-124.35441563264257
12,48.12898983501005,-124.66501399999999
13,48.57397936503935,-123.76064212877473
14,47.70658849717665,-122.47621148016331
15,47.79404092350292,-121.83080732359325
16,48.96925441709685,-124.66501399999999
17,48.74060345860648,-123.13340243548073
18,48.11014386170077,-124.11083260544123
19,48.18721999355364,-124.66501399999999
20,47.34296129957962,-124.66501399999999
21,48.365740671973704,-124.2340001037828
22,48.01000656834769,-124.66501399999999
23,48.38053268647718,-124.66501399999999
24,48.581722841713905,-123.5452853978406
25,49.352297920204876,-124.66501399999999
26,48.277393221581455,-124.66501399999999
27,47.57461442961264,-124.66501399999999
28,47.69417562099623,-124.66501399999999
29,47.495658032631155,-124.63590591089604
30,47.802451202039,-124.66501399999999
31,47.70182486110497,-124.66501399999999
32,47.94729325033593,-123.74087971635923
33,47.48572791033435,-124.3141035336464
34,48.19347846273351,-124.12231439266425
35,47.79948029381204,-124.66501399999999
36,48.56901653698492,-123.47096122403966
37,48.73887906343746,-122.65012308955096
38,48.51365724405813,-123.46705346056001
39,48.017060912220956,-123.98483446741602
40,48.07271809988427,-123.29494663142424
41,47.72756975494671,-123.81658808520942
42,47.21064199568677,-124.4159169068345
43,48.158051766645194,-124.66501399999999
44,48.401405415879964,-124.66501399999999
45,47.599517000406266,-124.66501399999999
46,47.93000329690981,-123.57934210010534
47,48.932758962231155,-122.2284755245261
48,49.063552169700145,-123.68293639501863
49,47.871468097728965,-124.66501399999999
